# galaxy orb_a mass spin spin_angle gen id_num
0.000000000000000000e+00 4.602802563606447075e+04 2.043789230217451802e+01 1.017785203549700646e-01 1.424120007738163718e+00 1.000000000000000000e+00 1.600000000000000000e+02
0.000000000000000000e+00 4.447959656304545319e+02 3.437077639175745247e+01 -3.195264251804441069e-01 3.100000000000000089e+00 1.000000000000000000e+00 1.610000000000000000e+02
0.000000000000000000e+00 3.038187777613144863e+04 1.030675517780156625e+01 -1.191834244826959904e-01 2.887307732556791962e+00 1.000000000000000000e+00 1.620000000000000000e+02
0.000000000000000000e+00 4.309023310844163461e+02 1.798383516125608850e+01 1.078366673229876060e-02 1.073204282233973350e+00 1.000000000000000000e+00 1.640000000000000000e+02
0.000000000000000000e+00 4.107241966571723606e+04 1.033951565466629496e+01 -4.400732665334156773e-02 1.723856167055015209e+00 1.000000000000000000e+00 1.650000000000000000e+02
0.000000000000000000e+00 3.437567837244572729e+04 2.148570001415970054e+01 -4.398186628605848907e-03 7.153447442281880564e-01 1.000000000000000000e+00 1.750000000000000000e+02
0.000000000000000000e+00 2.963154052351868449e+04 1.737765278393498747e+01 -7.978311633497672806e-02 8.801488974836830792e-01 1.000000000000000000e+00 1.760000000000000000e+02
0.000000000000000000e+00 5.000000000000000000e+04 2.061479379410010893e+01 -2.012756442990774053e-01 2.693925098772500082e+00 1.000000000000000000e+00 1.800000000000000000e+02
0.000000000000000000e+00 4.273068671662708948e+04 3.679920431468966768e+01 -5.443680947853342389e-02 1.106372262120522754e+00 1.000000000000000000e+00 1.810000000000000000e+02
0.000000000000000000e+00 3.865147279893601080e+04 1.117965349928021901e+01 -1.718596333660281639e-01 3.072080000000000144e+00 1.000000000000000000e+00 1.850000000000000000e+02
0.000000000000000000e+00 4.366643095475179871e+04 1.067360050200850630e+01 2.532797177112841580e-02 1.623685549573014475e+00 1.000000000000000000e+00 1.880000000000000000e+02
0.000000000000000000e+00 4.958355080797852861e+04 1.066874465730050403e+01 1.927623240536023574e-02 1.695145601794062706e+00 1.000000000000000000e+00 1.930000000000000000e+02
0.000000000000000000e+00 4.356115105159308882e+02 1.914050824616604629e+01 -4.257110901112843432e-02 9.765263779039256020e-01 1.000000000000000000e+00 1.950000000000000000e+02
0.000000000000000000e+00 5.144314198517131445e+02 2.992076960201945823e+01 1.344947839925003386e-01 7.520019344716584175e-01 1.000000000000000000e+00 1.990000000000000000e+02
9.900000000000000000e+01 1.095414075698916747e+02 1.814193081059283941e+01 -2.372884251909959941e-01 2.932706104416974657e+00 1.000000000000000000e+00 3.650000000000000000e+02
0.000000000000000000e+00 4.505216284666881256e+04 1.319234354846182455e+01 4.792850836592374431e-02 9.220274728566923983e-01 1.000000000000000000e+00 1.200000000000000000e+01
0.000000000000000000e+00 2.173329711936653621e+04 1.188808411139568300e+01 -1.561849120032381966e-01 2.723875870323012816e+00 1.000000000000000000e+00 1.800000000000000000e+01
0.000000000000000000e+00 2.148389209099701111e+04 1.087012540288237084e+01 8.731074995932674998e-02 7.076018660166386587e-01 1.000000000000000000e+00 3.600000000000000000e+01
0.000000000000000000e+00 5.396334299648785873e+02 1.569974826475419682e+01 -1.602525332713599093e-01 3.100000000000000089e+00 1.000000000000000000e+00 5.900000000000000000e+01
0.000000000000000000e+00 4.849757297364521219e+04 1.337190382828160296e+01 -3.317656311600883923e-01 3.100000000000000089e+00 1.000000000000000000e+00 6.100000000000000000e+01
0.000000000000000000e+00 2.306250132299928009e+04 1.468983063836147096e+01 -3.134820967600758512e-02 1.918169924559713468e+00 1.000000000000000000e+00 6.200000000000000000e+01
0.000000000000000000e+00 8.794095508502391567e+02 1.221040305582522656e+01 -1.488520322230646176e-01 2.162716813858505116e+00 1.000000000000000000e+00 7.300000000000000000e+01
0.000000000000000000e+00 3.689907525786682527e+04 1.270838824359877428e+01 -1.497663571155072315e-01 2.328066012148946484e+00 1.000000000000000000e+00 7.900000000000000000e+01
0.000000000000000000e+00 4.332699023552830795e+02 2.567047061825292076e+01 -1.009616354935911481e-01 2.853223872584810028e+00 1.000000000000000000e+00 8.000000000000000000e+01
0.000000000000000000e+00 5.931719725893372015e+02 3.295006192464493466e+01 -2.029345011512913022e-01 3.100000000000000089e+00 1.000000000000000000e+00 8.400000000000000000e+01
0.000000000000000000e+00 2.425674945800585920e+04 1.520115134045578564e+01 -8.920861071863527003e-02 3.100000000000000089e+00 1.000000000000000000e+00 8.800000000000000000e+01
0.000000000000000000e+00 3.488464828274776664e+04 1.222038471217473443e+01 -2.828041853766143920e-01 2.724544025588799823e+00 1.000000000000000000e+00 9.200000000000000000e+01
0.000000000000000000e+00 4.695413390792857535e+04 1.041974452139362839e+01 -1.907749415810666427e-01 2.377952133194126016e+00 1.000000000000000000e+00 9.300000000000000000e+01
0.000000000000000000e+00 4.978668899262434593e+02 1.627833611582911288e+01 -2.472710767530489628e-01 2.783909072357766856e+00 1.000000000000000000e+00 9.400000000000000000e+01
0.000000000000000000e+00 4.817918199600032676e+04 3.016277790873279585e+01 5.022660060584357815e-03 1.501445807575166880e+00 1.000000000000000000e+00 1.020000000000000000e+02
0.000000000000000000e+00 5.000000000000000000e+04 1.064683456681133400e+01 -1.065939657728007944e-01 3.032971250890550863e+00 1.000000000000000000e+00 1.140000000000000000e+02
0.000000000000000000e+00 5.000000000000000000e+04 3.766667641905344510e+01 -1.123656434286962186e-01 2.573192037083895656e+00 1.000000000000000000e+00 1.160000000000000000e+02
0.000000000000000000e+00 5.273768867820450623e+02 1.159760895653935542e+01 -2.165678668248034733e-01 2.919880168421786326e+00 1.000000000000000000e+00 1.220000000000000000e+02
0.000000000000000000e+00 3.564215255936539324e+04 1.188094888632855728e+01 6.794422263728494560e-02 8.239571413295561086e-01 1.000000000000000000e+00 1.280000000000000000e+02
0.000000000000000000e+00 3.870169710334170668e+04 1.358072526425436344e+01 -3.956903608651836102e-01 2.851813725971621416e+00 1.000000000000000000e+00 1.390000000000000000e+02
0.000000000000000000e+00 2.347652793707255114e+04 1.921816858556385199e+01 -7.779713833073521878e-02 2.431501918211498303e+00 1.000000000000000000e+00 1.490000000000000000e+02
0.000000000000000000e+00 5.000000000000000000e+04 3.269552147182283619e+01 2.502280783341339077e-01 1.182437603531416359e+00 1.000000000000000000e+00 1.540000000000000000e+02
0.000000000000000000e+00 2.574090498814794410e+04 1.106962089874348720e+01 4.472556813671779707e-02 2.016659592495468889e+00 1.000000000000000000e+00 1.820000000000000000e+02
0.000000000000000000e+00 4.486243320082609716e+04 2.173454332791239807e+01 -1.518644542085725024e-01 2.334105565364835044e+00 1.000000000000000000e+00 1.920000000000000000e+02
0.000000000000000000e+00 5.573475969611379242e+02 2.441381772497830838e+01 -1.245369990135902077e-01 3.100000000000000089e+00 1.000000000000000000e+00 7.100000000000000000e+01
0.000000000000000000e+00 4.352593416393594453e+03 1.036206788282639479e+01 -1.506964613160791111e-01 3.100000000000000089e+00 1.000000000000000000e+00 8.100000000000000000e+01
0.000000000000000000e+00 3.906590478532584143e+02 1.696805435536505868e+01 -2.261811709112079016e-01 2.914987194678857474e+00 1.000000000000000000e+00 8.500000000000000000e+01
0.000000000000000000e+00 5.009812036509434620e+03 1.353656061796353249e+01 -2.492362991931119237e-02 1.628491756804416379e+00 1.000000000000000000e+00 1.050000000000000000e+02
0.000000000000000000e+00 6.981476461046603390e+02 1.958341307035657053e+01 6.195343818962585972e-03 2.195410190481957180e+00 1.000000000000000000e+00 1.070000000000000000e+02
0.000000000000000000e+00 2.267852447680405021e+03 1.032091385120474669e+01 -1.806039888126087511e-02 1.575010154254964156e+00 1.000000000000000000e+00 1.120000000000000000e+02
0.000000000000000000e+00 6.193754676710600506e+02 1.061422699268297443e+01 -8.472335039399608858e-02 2.032322467358107065e+00 1.000000000000000000e+00 1.310000000000000000e+02
0.000000000000000000e+00 7.396020581235771942e+02 1.028901787501180287e+01 -3.176182041779485599e-01 2.790231691092839306e+00 1.000000000000000000e+00 1.320000000000000000e+02
0.000000000000000000e+00 5.129803017848892068e+02 1.161966454171769847e+01 -6.538871364225999627e-02 1.314554562211573296e+00 1.000000000000000000e+00 1.690000000000000000e+02
0.000000000000000000e+00 6.312237785530201108e+03 1.814396345621750584e+01 1.527360780858778577e-01 7.579100791384731917e-01 1.000000000000000000e+00 1.720000000000000000e+02
0.000000000000000000e+00 6.167510175474300240e+02 1.466804686999648233e+01 -1.341937596554897971e-01 2.743339708275711164e+00 1.000000000000000000e+00 1.740000000000000000e+02
0.000000000000000000e+00 9.882154895866274273e+02 1.779141763289807088e+01 -2.892160042821830812e-01 3.089349258935278009e+00 1.000000000000000000e+00 1.840000000000000000e+02
0.000000000000000000e+00 7.549424552216376014e+02 3.642723673411715879e+01 -1.496412630920246900e-01 2.316340969268909866e+00 1.000000000000000000e+00 1.860000000000000000e+02
0.000000000000000000e+00 6.478067761984325443e+02 1.049837343982894566e+01 1.789245958171036266e-01 7.003344522281442774e-01 1.000000000000000000e+00 1.910000000000000000e+02
0.000000000000000000e+00 7.029746096522252401e+02 1.612735245118888727e+01 -1.376691764468842283e-01 3.100000000000000089e+00 1.000000000000000000e+00 1.960000000000000000e+02
9.900000000000000000e+01 8.737407154297260092e+01 1.818441846094254188e+01 -1.729146735227840015e-01 2.197662957201758083e+00 1.000000000000000000e+00 3.660000000000000000e+02
9.900000000000000000e+01 8.304335410335563665e+02 3.269468809894100048e+01 -1.209701487341101334e-02 1.069872147943579987e+00 1.000000000000000000e+00 3.670000000000000000e+02
9.900000000000000000e+01 8.528445327292387219e+02 1.033049545151182258e+01 -1.646910765385585507e-01 3.100000000000000089e+00 1.000000000000000000e+00 3.690000000000000000e+02
9.900000000000000000e+01 1.767125067089478034e+04 2.487595526195554285e+01 6.365719537579236365e-01 0.000000000000000000e+00 2.000000000000000000e+00 3.680000000000000000e+02
9.900000000000000000e+01 5.348420714780373828e+02 1.824994565191541440e+01 -1.518113946092112532e-01 2.427289283458017533e+00 1.000000000000000000e+00 3.720000000000000000e+02
9.900000000000000000e+01 7.361618150771240835e+03 3.646867194570846493e+01 6.707645375373250118e-01 0.000000000000000000e+00 2.000000000000000000e+00 3.700000000000000000e+02
9.900000000000000000e+01 6.960119113134315967e+02 1.202410387611769416e+01 -4.795716376351707826e-03 1.200714748131727516e+00 1.000000000000000000e+00 3.760000000000000000e+02
9.900000000000000000e+01 4.523184696521518345e+04 2.126605189549613328e+01 6.388812457786667842e-01 0.000000000000000000e+00 2.000000000000000000e+00 3.740000000000000000e+02
9.900000000000000000e+01 2.677202626086258533e+03 2.101052785028696235e+01 6.446252000773107227e-01 0.000000000000000000e+00 2.000000000000000000e+00 3.770000000000000000e+02
9.900000000000000000e+01 7.948679765187132489e+02 3.607577264177854204e+01 -7.431769180443494743e-03 9.854241076473424510e-01 1.000000000000000000e+00 3.850000000000000000e+02
9.900000000000000000e+01 4.003340732581500924e+04 4.544728995492481260e+01 5.769378772938876798e-01 0.000000000000000000e+00 2.000000000000000000e+00 3.800000000000000000e+02
9.900000000000000000e+01 2.431667553907696129e+04 5.962071756782997767e+01 8.982695311784986147e-01 0.000000000000000000e+00 4.000000000000000000e+00 3.830000000000000000e+02
9.900000000000000000e+01 1.405349644374978925e+04 5.740564455235934815e+01 7.923062858200617953e-01 0.000000000000000000e+00 3.000000000000000000e+00 3.810000000000000000e+02
9.900000000000000000e+01 1.871525592665339559e+02 1.173268338018208112e+01 -1.103580239297395488e-01 2.789950026449687925e+00 1.000000000000000000e+00 3.920000000000000000e+02
9.900000000000000000e+01 1.538293583148643302e+04 6.707238248372259193e+01 9.392370900687606605e-01 0.000000000000000000e+00 4.000000000000000000e+00 3.860000000000000000e+02
9.900000000000000000e+01 2.713323616784199839e+04 4.284547527503002584e+01 6.843738955564105941e-01 0.000000000000000000e+00 2.000000000000000000e+00 3.840000000000000000e+02
9.900000000000000000e+01 2.932829539585560269e+04 5.243807677295417591e+01 5.361584988680145880e-01 0.000000000000000000e+00 2.000000000000000000e+00 3.820000000000000000e+02
9.900000000000000000e+01 1.335147511359483542e+04 4.274716605444688611e+01 7.719338142441557471e-01 0.000000000000000000e+00 3.000000000000000000e+00 3.970000000000000000e+02
9.900000000000000000e+01 2.296884836570052926e+02 3.736982789019861428e+01 -6.700444656036194657e-02 2.432147395075447083e+00 1.000000000000000000e+00 4.010000000000000000e+02
0.000000000000000000e+00 5.000000000000000000e+04 1.780309140069633500e+01 7.478645313317868089e-03 7.928513297274271121e-01 1.000000000000000000e+00 2.300000000000000000e+01
9.900000000000000000e+01 8.061698174946485551e+02 1.814830167793529725e+01 1.478198114760976567e-01 1.234980627404561826e+00 1.000000000000000000e+00 4.020000000000000000e+02
9.900000000000000000e+01 7.854982172556457954e+03 6.632039924581951595e+01 7.631360355573704179e-01 0.000000000000000000e+00 3.000000000000000000e+00 4.030000000000000000e+02
9.900000000000000000e+01 3.568711250614295568e+04 2.733651913256111854e+01 6.815063248847906541e-02 2.105489668091748978e+00 1.000000000000000000e+00 4.040000000000000000e+02
9.900000000000000000e+01 3.586910218349883507e+04 2.733651913256111854e+01 3.664105805984437664e-02 2.846378236353366731e+00 1.000000000000000000e+00 4.050000000000000000e+02
