# Initial seed: 3456789108
# galaxy bin_orb_a mass_final chi_eff spin_final spin_angle_final mass_1 mass_2 spin_1 spin_2 spin_angle_1 spin_angle_2 gen_1 gen_2 time_merged chi_p
1.000000000000000000e+00 1.898841751017588103e+04 2.389910436289341789e+01 -5.140465916041404154e-02 6.633988843360001386e-01 0.000000000000000000e+00 1.133517924988051995e+01 1.377752926704511793e+01 -1.419406956605449160e-04 -9.399767480548358589e-02 8.858198423065699600e-01 3.072080000000000144e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.100000000000000000e+05 6.528766997969448482e-03
2.000000000000000000e+00 2.570041009082788150e+04 3.734501956760693986e+01 -1.091461232293068490e-01 5.097390089219535625e-01 0.000000000000000000e+00 1.042113849821277149e+01 2.840640396810980306e+01 1.274832148808828503e-02 -1.486140980291635605e-01 1.721416902814900896e+00 3.100000000000000089e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.800000000000000000e+05 6.179472642978591466e-03
2.000000000000000000e+00 1.555697840922960313e+04 5.016753788477237208e+01 -1.406872499190441744e-02 6.885836479064941784e-01 0.000000000000000000e+00 2.488770957749209245e+01 2.790786380626728302e+01 -1.193394695558531171e-01 1.147859965122954989e-01 2.833983449900401741e+00 8.608789710436622888e-01 1.000000000000000000e+00 1.000000000000000000e+00 3.500000000000000000e+05 1.127247837056794544e-01
2.000000000000000000e+00 1.203012249506851913e+04 2.041107033400950854e+01 -8.571919487962188777e-02 6.537598523884787793e-01 0.000000000000000000e+00 1.108923114007313515e+01 1.034011611202742920e+01 4.305476251836425766e-02 -2.297438187851768843e-01 1.644860125327369582e+00 2.431611880890534927e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.600000000000000000e+05 1.382474909460462420e-01
2.000000000000000000e+00 1.123112393553476613e+04 2.814482785879593507e+01 9.352958434280727457e-03 6.714444866160537151e-01 0.000000000000000000e+00 1.771918285127038573e+01 1.185156014796788071e+01 -1.339373752461182898e-02 2.915896186736989526e-02 1.846066529704454062e+00 1.615255571202784401e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+05 1.838904924373719815e-02
2.000000000000000000e+00 2.393140114829580125e+04 5.708531499299953538e+01 1.655993989294380839e-02 6.528013450992080635e-01 0.000000000000000000e+00 3.896893243287487252e+01 2.087725513725004234e+01 1.966510690462926897e-02 4.575847446650002648e-02 9.091516877740918323e-01 9.949554256865891233e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.100000000000000000e+05 1.885891453631396639e-02
2.000000000000000000e+00 1.498476701519048584e+04 6.445387659857365747e+01 5.416625502227397915e-01 5.848465336941346404e-01 0.000000000000000000e+00 5.035249453569626610e+01 1.702395893063133414e+01 7.305836479064937716e-01 2.602574577923662605e-02 0.000000000000000000e+00 2.288576146667689937e+00 2.000000000000000000e+00 1.000000000000000000e+00 5.200000000000000000e+05 3.410444210298721468e-01
2.000000000000000000e+00 1.111637700753647914e+04 2.337013512572602636e+01 5.339275146946346334e-02 7.093779152357855278e-01 0.000000000000000000e+00 1.082518258533177935e+01 1.382822507806516299e+01 1.476818155440322577e-01 7.379821416788040489e-02 1.338730119764000914e+00 3.775263788287142042e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.200000000000000000e+05 1.086622365495665266e-01
2.000000000000000000e+00 1.554294463375212945e+04 3.005221476489488808e+01 -3.804480186604024955e-02 6.824566312260081924e-01 0.000000000000000000e+00 1.531297402839744493e+01 1.631547672665586290e+01 6.903350118472377506e-02 -7.780119059899792688e-02 1.618485105909461597e+00 2.709889508307484984e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.300000000000000000e+05 6.413463445152509101e-02
2.000000000000000000e+00 2.324317994078452830e+04 5.252251345235902136e+01 8.891572324114856846e-03 7.062048284640796147e-01 0.000000000000000000e+00 2.921655712977561947e+01 2.616588192039947458e+01 4.968320258600002204e-02 8.894802408352169010e-02 2.315799755654048386e+00 8.835304359650082429e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.700000000000000000e+05 4.762837822988448544e-02
2.000000000000000000e+00 1.589591097289194295e+04 4.649831702242295250e+01 -4.094382388155745622e-02 5.507754569066694028e-01 0.000000000000000000e+00 3.618033943700994826e+01 1.211585253570940246e+01 -5.736588669344237779e-02 8.308122420835048483e-03 3.058120000000000172e+00 4.449279704848174699e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.700000000000000000e+05 1.876438729239165602e-03
2.000000000000000000e+00 2.701248297270419789e+04 7.659497459184842683e+01 4.922578939520452779e-01 6.352742836144157357e-01 0.000000000000000000e+00 5.724308808909841417e+01 2.315883408989689585e+01 6.752013450992078170e-01 4.896139492988194064e-02 0.000000000000000000e+00 6.123344564082796593e-01 2.000000000000000000e+00 1.000000000000000000e+00 6.400000000000000000e+05 1.558473301573613801e-01
2.000000000000000000e+00 1.177826052515038464e+04 2.187340336493617343e+01 -3.129383094489014000e-02 6.761654620895048984e-01 0.000000000000000000e+00 1.249513900385876397e+01 1.050329501420744904e+01 -6.525206075222521329e-02 1.002297526401523323e-02 2.649058970416065417e+00 1.583031651955957742e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.500000000000000000e+05 2.703498008268244088e-02
2.000000000000000000e+00 2.604908841914945515e+04 6.398270201050318207e+01 5.578433921120233840e-01 8.514123357858081054e-01 0.000000000000000000e+00 1.371634109613297170e+01 5.267979078001344817e+01 -8.436441893798121705e-02 7.228048284640794519e-01 2.684869086356954870e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 7.100000000000000000e+05 1.227111557653868118e-01
2.000000000000000000e+00 1.026520144643399544e+04 3.728725192358845675e+01 5.034491032143637579e-01 8.450916816703246681e-01 0.000000000000000000e+00 1.080248507100592548e+01 2.828760160070171281e+01 5.316070975202571991e-02 6.830444866160535478e-01 8.973112942012184678e-01 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 7.300000000000000000e+05 1.396217999147169805e-02
2.000000000000000000e+00 1.994587499114480670e+04 2.941467530196300117e+01 -3.082317282449247020e-02 6.998759646654515443e-01 0.000000000000000000e+00 1.133087903982982247e+01 1.956273643017800268e+01 -8.098986095855566225e-02 2.077359003344226851e-01 2.427258915389628680e+00 1.634547001116160692e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.500000000000000000e+05 1.950899206300903965e-01
2.000000000000000000e+00 2.085712709459629696e+04 2.595250643652560996e+01 2.805980515443037282e-01 7.849764493169468782e-01 0.000000000000000000e+00 1.376803410487056922e+01 1.379915377098464546e+01 4.007282429176189931e-01 2.587079105390647227e-01 7.122801725053229394e-01 7.673225813962820940e-02 1.000000000000000000e+00 1.000000000000000000e+00 7.800000000000000000e+05 3.447683930471723834e-01
2.000000000000000000e+00 5.000000000000000000e+04 5.643558296706071786e+01 1.396090371242999541e-02 6.127451595912211113e-01 0.000000000000000000e+00 3.958348169111970805e+01 1.946369125969385294e+01 4.980981745267563932e-02 -4.645293211322909510e-02 6.177301289857080047e-01 2.617798205490286634e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.000000000000000000e+05 3.131594938007688927e-02
2.000000000000000000e+00 2.101782578467524945e+04 8.607558083253816505e+01 6.611955758542641393e-01 8.461139247085706083e-01 0.000000000000000000e+00 2.598236898660279692e+01 6.491507495704632902e+01 8.069764493169466757e-01 6.028465336941344344e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 8.400000000000000000e+05 0.000000000000000000e+00
